year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,Andhra Pradesh,7,Etcherla,Kottakotla Simhadri Naidu,MALE,41,GENERAL,INC,Hand,2126,9,2135,1.092787093,232070
2014,Andhra Pradesh,7,Etcherla,Badana. Venkata Janardhana Rao,MALE,45,GENERAL,JnP,Glass Tumbler,4992,76,5068,2.594025756,232070
2014,Andhra Pradesh,7,Etcherla,Rokkam. Suryaprakash Rao,MALE,60,GENERAL,BJP,Lotus,988,34,1022,0.523104641,232070
2014,Andhra Pradesh,7,Etcherla,Kalavenkata Rao Kimidi,MALE,65,GENERAL,TDP,Bicycle,80690,271,80961,41.4394079,232070
2014,Andhra Pradesh,7,Etcherla,Gorle. Kiran Kumar,MALE,53,GENERAL,YSRCP,Ceiling Fan,99070,602,99672,51.01652233,232070
2019,Andhra Pradesh,7,Etcherla,Mahanthi. Satyanarayana.,MALE,40,GENERAL,IND,Bat,782,,782,0.400262064,232070
2019,Andhra Pradesh,7,Etcherla,Mudili Venkata Ramana,MALE,40,GENERAL,IND,Gas Stove,640,,640,0.327580206,232070
2019,Andhra Pradesh,7,Etcherla,Ananth Mahanthi,MALE,33,GENERAL,IND,Carrom Board,269,,269,0.137686055,232070
2019,Andhra Pradesh,7,Etcherla,Kari. Siva Rao,MALE,42,GENERAL,PPOI,FLUTE,195,,195,0.099809594,232070
2019,Andhra Pradesh,7,Etcherla,NOTA,,,,NOTA,NOTA,4623,5,4628,2.368814364,232070
2019,Andhra Pradesh,7,Etcherla,Kottakotla Simhadri Naidu,MALE,41,GENERAL,INC,Hand,2126,9,2135,1.092787093,232070
2019,Andhra Pradesh,7,Etcherla,Badana. Venkata Janardhana Rao,MALE,45,GENERAL,JnP,Glass Tumbler,4992,76,5068,2.594025756,232070
2019,Andhra Pradesh,7,Etcherla,Rokkam. Suryaprakash Rao,MALE,60,GENERAL,BJP,Lotus,988,34,1022,0.523104641,232070
2019,Andhra Pradesh,7,Etcherla,Kalavenkata Rao Kimidi,MALE,65,GENERAL,TDP,Bicycle,80690,271,80961,41.4394079,232070
2019,Andhra Pradesh,7,Etcherla,Gorle. Kiran Kumar,MALE,53,GENERAL,YSRCP,Ceiling Fan,99070,602,99672,51.01652233,232070
2014,Andhra Pradesh,8,Narasannapeta,Naidugari Rajasekhar,MALE,35,GENERAL,IND,Switchboard,255,,255,0.152212453,210451
2014,Andhra Pradesh,8,Narasannapeta,Reddi Bhagya Lakshmi,FEMALE,44,GENERAL,BJP,Lotus,758,123,881,0.525879102,210451
2014,Andhra Pradesh,8,Narasannapeta,NOTA,,,,NOTA,NOTA,3485,6,3491,2.083818324,210451
2014,Andhra Pradesh,8,Narasannapeta,Satya Tadi,MALE,44,SC,IND,Ganna Kisan,451,3,454,0.270997857,210451
2014,Andhra Pradesh,8,Narasannapeta,Bheri Venkata Ramana,MALE,53,SC,IND,Apple,339,2,341,0.203546849,210451
2014,Andhra Pradesh,8,Narasannapeta,Dandupati Koteshwar Rao,MALE,42,GENERAL,JAJGP,Mike,334,6,340,0.202949937,210451
2014,Andhra Pradesh,8,Narasannapeta,Dola Udayabhaskara Rao,MALE,48,GENERAL,INC,Hand,5235,31,5266,3.143336378,210451
2014,Andhra Pradesh,8,Narasannapeta,Metta Vaikunta Rao,MALE,45,GENERAL,JnP,Glass Tumbler,2373,89,2462,1.469596309,210451
2014,Andhra Pradesh,8,Narasannapeta,Baggu Ramana Murthy,MALE,60,GENERAL,TDP,Bicycle,66597,645,67242,40.13752843,210451
2014,Andhra Pradesh,8,Narasannapeta,DHARMANA KRISHNA DAS,MALE,64,GENERAL,YSRCP,Ceiling Fan,85622,1175,86797,51.81013436,210451
2019,Andhra Pradesh,8,Narasannapeta,Naidugari Rajasekhar,MALE,35,GENERAL,IND,Switchboard,255,,255,0.152212453,210451
2019,Andhra Pradesh,8,Narasannapeta,Reddi Bhagya Lakshmi,FEMALE,44,GENERAL,BJP,Lotus,758,123,881,0.525879102,210451
2019,Andhra Pradesh,8,Narasannapeta,NOTA,,,,NOTA,NOTA,3485,6,3491,2.083818324,210451
2019,Andhra Pradesh,8,Narasannapeta,Satya Tadi,MALE,44,SC,IND,Ganna Kisan,451,3,454,0.270997857,210451
2019,Andhra Pradesh,8,Narasannapeta,Bheri Venkata Ramana,MALE,53,SC,IND,Apple,339,2,341,0.203546849,210451
2019,Andhra Pradesh,8,Narasannapeta,Dandupati Koteshwar Rao,MALE,42,GENERAL,JAJGP,Mike,334,6,340,0.202949937,210451
2019,Andhra Pradesh,8,Narasannapeta,Dola Udayabhaskara Rao,MALE,48,GENERAL,INC,Hand,5235,31,5266,3.143336378,210451
2019,Andhra Pradesh,8,Narasannapeta,Metta Vaikunta Rao,MALE,45,GENERAL,JnP,Glass Tumbler,2373,89,2462,1.469596309,210451
2019,Andhra Pradesh,8,Narasannapeta,Baggu Ramana Murthy,MALE,60,GENERAL,TDP,Bicycle,66597,645,67242,40.13752843,210451
2019,Andhra Pradesh,8,Narasannapeta,DHARMANA KRISHNA DAS,MALE,64,GENERAL,YSRCP,Ceiling Fan,85622,1175,86797,51.81013436,210451
2014,Andhra Pradesh,9,Rajam (SC),MANNENA RAMESH,MALE,36,SC,PRSHP,Helicopter,505,,505,0.310704222,220006
2014,Andhra Pradesh,9,Rajam (SC),NOTA,,,,NOTA,NOTA,3583,4,3587,2.206922859,220006
2014,Andhra Pradesh,9,Rajam (SC),KAMBALA JOGULU,MALE,52,SC,YSRCP,Ceiling Fan,82569,992,83561,51.411397,220006
2014,Andhra Pradesh,9,Rajam (SC),KONDRU MURALI MOHAN,MALE,49,SC,TDP,Bicycle,66272,441,66713,41.04556585,220006
2014,Andhra Pradesh,9,Rajam (SC),MUTCHA SRINIVASA RAO,MALE,39,SC,JnP,Glass Tumbler,4924,63,4987,3.068281098,220006
2014,Andhra Pradesh,9,Rajam (SC),KAMBALA RAJAVARDHANA,MALE,36,SC,INC,Hand,2205,9,2214,1.362176529,220006
