year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,andhra pradesh,110,kondapi (sc),nota,,,,nota,nota,2097,2.0,2099,1.032078515,231653
2014,andhra pradesh,110,kondapi (sc),doctor dola sree bala veeranjaneya swamy,male,49.0,sc,tdp,bicycle,97255,887.0,98142,48.25643144,231653
2014,andhra pradesh,110,kondapi (sc),madasi venkaiah,male,55.0,sc,ysrcp,ceiling fan,96280,838.0,97118,47.75293053,231653
2014,andhra pradesh,110,kondapi (sc),kaki prasad,male,39.0,sc,bsp,elephant,2975,8.0,2983,1.466741405,231653
2014,andhra pradesh,110,kondapi (sc),sripathi prakasam,male,66.0,sc,inc,hand,1066,2.0,1068,0.525135709,231653
2014,andhra pradesh,110,kondapi (sc),karatapu raju,male,48.0,sc,bjp,lotus,487,3.0,490,0.24093305,231653
2014,andhra pradesh,110,kondapi (sc),kotte bala krishna,male,39.0,sc,ppoi,flute,75,2.0,77,0.037860908,231653
2014,andhra pradesh,111,markapuram,lakshmi reddy yeruva,male,28.0,general,ind,slate,717,,717,0.40345724,210105
2014,andhra pradesh,111,markapuram,barige balaiah,male,39.0,general,ind,computer,250,,250,0.140675467,210105
2014,andhra pradesh,111,markapuram,parisineni venkateswarlu,male,35.0,general,ind,almirah,122,,122,0.068649628,210105
2014,andhra pradesh,111,markapuram,g.k. nagendra reddy,male,31.0,general,ind,air conditioner,91,,91,0.05120587,210105
2014,andhra pradesh,111,markapuram,orsu alluraiah swami,male,41.0,general,ind,bat,59,,59,0.03319941,210105
2014,andhra pradesh,111,markapuram,nagasundari emmadi,female,44.0,general,ind,apple,76,,76,0.042765342,210105
2014,andhra pradesh,111,markapuram,eruva nagarjuna reddy,male,39.0,general,prshp,helicopter,311,,311,0.175000281,210105
2014,andhra pradesh,111,markapuram,kadiam ramaiah yadav,male,42.0,general,saprp,electric pole,122,,122,0.068649628,210105
2014,andhra pradesh,111,markapuram,santha kumar malaprolu,male,26.0,sc,nvsp,gas cylinder,70,,70,0.039389131,210105
2014,andhra pradesh,111,markapuram,suresh kumar natha,male,48.0,general,ppoi,flute,56,,56,0.031511305,210105
2014,andhra pradesh,111,markapuram,nota,,,,nota,nota,1804,7.0,1811,1.019053085,210105
2014,andhra pradesh,111,markapuram,shaik saidha,male,49.0,general,inc,hand,1044,7.0,1051,0.591399665,210105
2014,andhra pradesh,111,markapuram,emmadi kasinadh,male,48.0,general,jnp,glass tumbler,5446,57.0,5503,3.096548387,210105
2014,andhra pradesh,111,markapuram,morriboyina chennaiah,male,52.0,general,bjp,lotus,763,19.0,782,0.440032862,210105
2014,andhra pradesh,111,markapuram,kandula narayana reddy,male,49.0,general,tdp,bicycle,73061,952.0,74013,41.64725345,210105
2014,andhra pradesh,111,markapuram,kunduru nagarjuna reddy,male,39.0,general,ysrcp,ceiling fan,91514,1166.0,92680,52.15120925,210105
2014,andhra pradesh,112,giddalur,ramana reddy undela,male,49.0,general,ind,tractor chalata kissan,277,,277,0.141300577,238144
2014,andhra pradesh,112,giddalur,sk. rasheed,male,33.0,general,ind,dish antenna,214,,214,0.109163623,238144
2014,andhra pradesh,112,giddalur,g. pulla reddy,male,53.0,general,ind,battery torch,97,,97,0.049480708,238144
2014,andhra pradesh,112,giddalur,annagaani sudhakar,male,36.0,st,nvsp,gas cylinder,130,,130,0.06631435,238144
2014,andhra pradesh,112,giddalur,pidatala saraswathi,female,39.0,general,bjp,lotus,403,371.0,774,0.39482544,238144
2014,andhra pradesh,112,giddalur,nota,,,,nota,nota,3618,5.0,3623,1.848129935,238144
2014,andhra pradesh,112,giddalur,sare janardhan nayudu,male,38.0,general,ind,basket containing fruits,408,6.0,414,0.211185701,238144
2014,andhra pradesh,112,giddalur,gotham pandu rangaiah,male,30.0,general,ind,petrol pump,112,10.0,122,0.062233467,238144
2014,andhra pradesh,112,giddalur,a. hari babu,male,41.0,general,ind,flute,103,2.0,105,0.053561591,238144
2014,andhra pradesh,112,giddalur,pagadala pedda rangaswami,male,47.0,general,inc,hand,1778,58.0,1836,0.936562672,238144
2014,andhra pradesh,112,giddalur,byraboina chandra sekhar,male,48.0,general,jnp,glass tumbler,3040,88.0,3128,1.595625293,238144
2014,andhra pradesh,112,giddalur,ashok reddy muthumula,male,50.0,general,tdp,bicycle,51210,866.0,52076,26.56450856,238144
2014,andhra pradesh,112,giddalur,anna rambabu,male,54.0,general,ysrcp,ceiling fan,129688,3423.0,133111,67.90130384,238144
2014,andhra pradesh,112,giddalur,mudavath lakshmi rama naik,male,26.0,st,ind,bat,128,1.0,129,0.06580424,238144
2014,andhra pradesh,113,kanigiri,shaik alla bhasha,male,43.0,general,ind,whistle,297,,297,0.154069617,232084
2014,andhra pradesh,113,kanigiri,nambula venkateswarlu,male,29.0,general,ind,ring,77,,77,0.039943975,232084
2014,andhra pradesh,113,kanigiri,ummadi bhaskar rao,male,32.0,sc,ind,helicopter,381,,381,0.197644862,232084
2014,andhra pradesh,113,kanigiri,nelapati vijay kumar,male,37.0,sc,ind,road roller,104,,104,0.053950303,232084
2014,andhra pradesh,113,kanigiri,sridivya bhutalapalli,female,37.0,general,ind,battery torch,194,,194,0.100638066,232084
2014,andhra pradesh,113,kanigiri,kodamala benzimen,male,38.0,sc,anc,gramophone,258,,258,0.133838253,232084
2014,andhra pradesh,113,kanigiri,paluri venkata ramana reddy,male,70.0,general,aifb,lion,104,,104,0.053950303,232084
2014,andhra pradesh,113,kanigiri,nota,,,,nota,nota,2246,2.0,2248,1.16615656,232084
2014,andhra pradesh,113,kanigiri,mannepalli lakshmi narayana,male,51.0,general,cpi,ears of corn and sickle,2428,6.0,2434,1.262644602,232084
2014,andhra pradesh,113,kanigiri,pasam venkateswarlu,male,46.0,general,inc,hand,934,5.0,939,0.48710899,232084
2014,andhra pradesh,113,kanigiri,puli krishna reddy,male,41.0,general,bjp,lotus,1166,11.0,1177,0.610572184,232084
2014,andhra pradesh,113,kanigiri,dr. mukku ugra narasimha reddy,male,44.0,general,tdp,bicycle,70885,942.0,71827,37.26046584,232084
2014,andhra pradesh,113,kanigiri,burra madhu sudhan yadav,male,48.0,general,ysrcp,ceiling fan,111553,1177.0,112730,58.47901644,232084
2014,andhra pradesh,114,kavali,garre suresh babu,male,44.0,general,ind,bucket,416,,416,0.213255686,255469
2014,andhra pradesh,114,kavali,methuku rajeswari,female,45.0,general,ind,gas cylinder,306,,306,0.156865962,255469
2014,andhra pradesh,114,kavali,nota,,,,nota,nota,2289,8.0,2297,1.17751998,255469
2014,andhra pradesh,114,kavali,venkata rao chinthala,male,59.0,general,inc,hand,1134,4.0,1138,0.583377334,255469
2014,andhra pradesh,114,kavali,pasupuleti sudhakar,male,51.0,general,jnp,glass tumbler,10428,219.0,10647,5.458012724,255469
2014,andhra pradesh,114,kavali,kandukuri venkata satyanarayana,male,63.0,general,bjp,lotus,2525,21.0,2546,1.305165811,255469
2014,andhra pradesh,114,kavali,katamreddy vishnu vardhan reddy,male,61.0,general,tdp,bicycle,80744,967.0,81711,41.88782546,255469
2014,andhra pradesh,114,kavali,ramireddy pratap kumar reddy,male,54.0,general,ysrcp,ceiling fan,94561,1267.0,95828,49.12467768,255469
2014,andhra pradesh,114,kavali,sabbella vijaya bhaskar reddy,male,30.0,general,ppoi,flute,181,1.0,182,0.093299363,255469
2014,andhra pradesh,115,atmakur,sura bhaskar reddy,male,54.0,general,ind,football,222,,222,0.127361494,209051
2014,andhra pradesh,115,atmakur,valluru vijaya bhaskar reddy,male,47.0,general,ind,gas cylinder,170,,170,0.097529072,209051
2014,andhra pradesh,115,atmakur,suman gadupudi,male,26.0,general,ind,pen nib with seven rays,138,,138,0.079170659,209051
2014,andhra pradesh,115,atmakur,lali rajendra,male,35.0,general,ind,electric pole,134,,134,0.076875857,209051
2014,andhra pradesh,115,atmakur,shaik moinuddin,male,56.0,general,ind,ganna kisan,120,,120,0.068844051,209051
2014,andhra pradesh,115,atmakur,ulladi venkataiah,male,46.0,sc,ind,kettle,170,,170,0.097529072,209051
2014,andhra pradesh,115,atmakur,muramreddy venkateswarlu,male,35.0,general,ppoi,flute,137,,137,0.078596958,209051
2014,andhra pradesh,115,atmakur,mandala padmaja,female,45.0,sc,bsp,elephant,2262,12.0,2274,1.304594767,209051
2014,andhra pradesh,115,atmakur,nota,,,,nota,nota,2160,1.0,2161,1.239766619,209051
